date,time,venue,field,division,team1,team2
06/30,10:00 AM,Vail – Ford Park,Ford - Field 1,U19 Boys,Laxachussetts,Team CO 4A
06/30,11:30 AM,Vail – Ford Park,Ford - Field 1,U19 Boys,Laxachussetts,Flip's Pirates
06/30,1:00 PM,Vail – Ford Park,Ford - Field 1,U19 Boys,Flip's Pirates,Team CO 4A
06/30,10:00 AM,Vail – Ford Park,Ford - Ford 2,U19 Boys,ADRLN,Team CO 5A
07/01,8:30 AM,Edwards (down-valley),EDW - Edwards 2,U19 Girls,Silver Division 3rd Place,Silver Division 5th Place
07/01,9:00 AM,Edwards (down-valley),EDW - Edwards 2,U19 Girls,Silver Division 4th Place,Silver Division 5th Place
07/01,9:30 AM,Edwards (down-valley),EDW - Edwards 2,U19 Girls,Silver Division 4th Place,Silver Division 3rd Place
07/01,9:00 AM,Edwards (down-valley),EDW - Edwards Turf,U19 Girls,Silver Division 2nd Place,Silver Division 1st Place
07/01,9:00 AM,Vail – Ford Park,Ford - Field 1,U19 Boys,Pool 3rd Place,Pool 4th Place
07/01,12:00 PM,Vail – Ford Park,Ford - Field 1,U19 Boys,Pool 1st Place,Pool 2nd Place
07/01,10:30 AM,Vail – Ford Park,Ford - Ford 2,U19 Boys,Pool 5th Place,Bracket Loser B9
07/02,9:00 AM,Vail – Ford Park,Ford - Field 1,Men's Elite,Northmen,10th Mountain
07/02,10:00 AM,Vail – Ford Park,Ford - Field 1,Men's Elite,Northmen,Team Craig
07/02,11:00 AM,Vail – Ford Park,Ford - Field 1,Men's Elite,Team Craig,10th Mountain
07/02,12:00 PM,Vail – Ford Park,Ford - Field 1,Men's Elite,Mohawk TIle,10th Mountain OTF
07/02,1:00 PM,Vail – Ford Park,Ford - Field 1,Men's Elite,Mohawk TIle,Buffs
07/02,2:00 PM,Vail – Ford Park,Ford - Field 1,Men's Elite,Buffs,10th Mountain OTF
07/02,9:00 AM,Vail – Ford Park,Ford - Ford 2,Men's Elite,RM Oysters,GCC CORP Alumni
07/02,10:00 AM,Vail – Ford Park,Ford - Ford 2,Men's Elite,GCC CORP Alumni,Northside Boogeymen
07/02,11:00 AM,Vail – Ford Park,Ford - Ford 2,Men's Elite,RM Oysters,Northside Boogeymen
07/03,8:30 AM,Vail – Athletic Field,Athletic,Women's Elite,Crossroads,Reapers
07/03,9:40 AM,Vail – Athletic Field,Athletic,Women's Elite,Krash,Shots & Shooters
07/03,10:50 AM,Vail – Athletic Field,Athletic,Women's Elite,Pink Pony,Reapers
07/03,12:00 PM,Vail – Athletic Field,Athletic,Women's Elite,WOBZ,Shots & Shooters
07/03,1:10 PM,Vail – Athletic Field,Athletic,Women's Elite,Pink Pony,Crossroads
07/03,2:20 PM,Vail – Athletic Field,Athletic,Women's Elite,WOBZ,Krash
07/03,9:00 AM,Vail – Ford Park,Ford - Field 1,Men's Elite,Seed 4,Seed 5
07/03,10:30 AM,Vail – Ford Park,Ford - Field 1,Men's Elite,Seed 1,Seed 8
07/03,12:00 PM,Vail – Ford Park,Ford - Field 1,Men's Elite,Seed 9,Bracket Loser B10
07/03,2:00 PM,Vail – Ford Park,Ford - Field 1,Masters,10th Mtn Whiskey,Montucky Old Snacks
07/03,9:00 AM,Vail – Ford Park,Ford - Ford 2,Men's Elite,Seed 3,Seed 6
07/03,10:30 AM,Vail – Ford Park,Ford - Ford 2,Men's Elite,Seed 2,Seed 7
07/03,12:00 PM,Vail – Ford Park,Ford - Ford 2,Masters,Outlaws,10th Mtn Whiskey
07/03,2:00 PM,Vail – Ford Park,Ford - Ford 2,Masters,Off In The Woods,Outlaws
07/04,8:30 AM,Vail – Athletic Field,Athletic,Women's Elite,Pool A 1st Place,Pool B 3rd Place
07/04,9:40 AM,Vail – Athletic Field,Athletic,Women's Elite,Pool A 2nd Place,Pool B 2nd Place
07/04,10:50 AM,Vail – Athletic Field,Athletic,Women's Elite,Pool A 3rd Place,Pool B 1st Place
07/04,12:00 PM,Vail – Athletic Field,Athletic,Women's Elite,Pool B 2nd Place,Pool A 1st Place
07/04,1:10 PM,Vail – Athletic Field,Athletic,Women's Elite,Pool B 3rd Place,Pool A 3rd Place
07/04,2:20 PM,Vail – Athletic Field,Athletic,Women's Elite,Pool B 1st Place,Pool A 2nd Place
07/04,9:00 AM,Vail – Ford Park,Ford - Field 1,Men's Elite,Bracket Loser B11,Bracket Loser B12
07/04,10:30 AM,Vail – Ford Park,Ford - Field 1,Men's Elite,Bracket Winner B10,Bracket Winner B11
07/04,12:00 PM,Vail – Ford Park,Ford - Field 1,Men's Elite,Bracket Winner B12,Bracket Winner B13
07/04,2:00 PM,Vail – Ford Park,Ford - Field 1,Men's Elite,Bracket Loser B10,Bracket Loser B17
07/04,9:00 AM,Vail – Ford Park,Ford - Ford 2,Masters,Off In The Woods,Montucky Old Snacks
07/04,10:30 AM,Vail – Ford Park,Ford - Ford 2,Masters,Outlaws,Montucky Old Snacks
07/04,12:00 PM,Vail – Ford Park,Ford - Ford 2,Masters,10th Mtn Whiskey,Off In The Woods
07/04,12:00 PM,Vail – Ford Park,Ford - Ford 2,Men's Elite,Bracket Loser B13,Seed 9
07/05,8:00 AM,Vail – Athletic Field,Athletic,Women's Elite,Unknown,Unknown
07/05,9:00 AM,Vail – Athletic Field,Athletic,Women's Elite,Unknown,Unknown
07/05,9:00 AM,Vail – Ford Park,Ford - Field 1,Masters,Pool A 1st Place,Pool A 2nd Place
07/05,10:30 AM,Vail – Ford Park,Ford - Field 1,Women's Elite,Seed 2,Seed 1
07/05,12:00 PM,Vail – Ford Park,Ford - Field 1,Men's Elite,Bracket Winner B15,Bracket Winner B16
07/05,8:30 AM,Vail – Ford Park,Ford - Ford 2,Men's Elite,Bracket Winner B17,Bracket Winner B18
07/05,9:45 AM,Vail – Ford Park,Ford - Ford 2,Men's Elite,Seed 9,Bracket Loser B22
07/05,11:00 AM,Vail – Ford Park,Ford - Ford 2,Men's Elite,Bracket Loser B15,Bracket Loser B16
07/05,9:00 AM,Vail – Mtn School,Vail Mountain School,Masters,Pool A 3rd Place,Pool A 4th Place
07/05,10:30 AM,Vail – Mtn School,Vail Mountain School,Men's Elite,Bracket Loser B17,Bracket Loser B18
